Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HY,AY,HST,AST
24/01/2023,Schalke 04,RB Leipzig,1,6,A,1.0,6.0,1.0,1.0,1.0,14.0
25/01/2023,Augsburg,M'gladbach,1,0,H,3.0,2.0,1.0,2.0,4.0,2.0
25/01/2023,Freiburg,Ein Frankfurt,1,1,D,4.0,3.0,3.0,3.0,5.0,2.0
25/01/2023,Leverkusen,Bochum,2,0,H,3.0,4.0,2.0,4.0,4.0,2.0
25/01/2023,Mainz,Dortmund,1,2,A,2.0,3.0,2.0,0.0,4.0,6.0
25/01/2023,Werder Bremen,Union Berlin,1,2,A,5.0,7.0,0.0,0.0,3.0,5.0
27/01/2023,RB Leipzig,Stuttgart,2,1,H,3.0,6.0,0.0,0.0,4.0,3.0
28/01/2023,Bayern Munich,Ein Frankfurt,1,1,D,7.0,6.0,3.0,1.0,6.0,1.0
28/01/2023,Freiburg,Augsburg,3,1,H,3.0,7.0,3.0,3.0,9.0,4.0
28/01/2023,Hertha,Union Berlin,0,2,A,3.0,2.0,1.0,2.0,3.0,3.0
28/01/2023,Hoffenheim,M'gladbach,1,4,A,4.0,3.0,2.0,1.0,5.0,5.0
28/01/2023,Mainz,Bochum,5,2,H,3.0,2.0,0.0,1.0,7.0,4.0
28/01/2023,Werder Bremen,Wolfsburg,2,1,H,2.0,6.0,3.0,3.0,5.0,3.0
29/01/2023,Leverkusen,Dortmund,0,2,A,8.0,4.0,2.0,4.0,7.0,2.0
29/01/2023,Schalke 04,FC Koln,0,0,D,7.0,7.0,3.0,4.0,2.0,0.0
03/02/2023,Augsburg,Leverkusen,1,0,H,2.0,1.0,3.0,2.0,5.0,4.0
04/02/2023,Bochum,Hoffenheim,5,2,H,6.0,6.0,2.0,3.0,11.0,4.0
04/02/2023,Dortmund,Freiburg,5,1,H,14.0,0.0,3.0,4.0,8.0,3.0
04/02/2023,Ein Frankfurt,Hertha,3,0,H,7.0,1.0,1.0,2.0,4.0,3.0
04/02/2023,FC Koln,RB Leipzig,0,0,D,5.0,1.0,3.0,4.0,0.0,2.0
04/02/2023,M'gladbach,Schalke 04,0,0,D,9.0,5.0,2.0,3.0,4.0,5.0
04/02/2023,Union Berlin,Mainz,2,1,H,5.0,5.0,1.0,1.0,5.0,2.0
05/02/2023,Stuttgart,Werder Bremen,0,2,A,8.0,4.0,2.0,5.0,5.0,4.0
05/02/2023,Wolfsburg,Bayern Munich,2,4,A,7.0,4.0,2.0,6.0,5.0,4.0
10/02/2023,Schalke 04,Wolfsburg,0,0,D,9.0,3.0,1.0,4.0,5.0,2.0
11/02/2023,Bayern Munich,Bochum,3,0,H,6.0,3.0,1.0,1.0,12.0,1.0
11/02/2023,Freiburg,Stuttgart,2,1,H,4.0,3.0,3.0,3.0,5.0,3.0
11/02/2023,Hoffenheim,Leverkusen,1,3,A,5.0,8.0,3.0,1.0,6.0,5.0
11/02/2023,Mainz,Augsburg,3,1,H,4.0,12.0,1.0,1.0,7.0,3.0
11/02/2023,RB Leipzig,Union Berlin,1,2,A,3.0,4.0,4.0,4.0,1.0,5.0
11/02/2023,Werder Bremen,Dortmund,0,2,A,3.0,7.0,1.0,0.0,3.0,9.0
12/02/2023,FC Koln,Ein Frankfurt,3,0,H,3.0,9.0,3.0,2.0,4.0,1.0
12/02/2023,Hertha,M'gladbach,4,1,H,4.0,6.0,1.0,1.0,7.0,3.0
17/02/2023,Augsburg,Hoffenheim,1,0,H,6.0,1.0,3.0,3.0,3.0,2.0
18/02/2023,Bochum,Freiburg,0,2,A,5.0,5.0,4.0,2.0,6.0,5.0
18/02/2023,Ein Frankfurt,Werder Bremen,2,0,H,5.0,2.0,1.0,1.0,6.0,0.0
18/02/2023,M'gladbach,Bayern Munich,3,2,H,4.0,0.0,0.0,1.0,7.0,4.0
18/02/2023,Stuttgart,FC Koln,3,0,H,3.0,6.0,3.0,4.0,7.0,4.0
18/02/2023,Wolfsburg,RB Leipzig,0,3,A,2.0,5.0,1.0,1.0,2.0,5.0
19/02/2023,Dortmund,Hertha,4,1,H,3.0,4.0,1.0,2.0,5.0,8.0
19/02/2023,Leverkusen,Mainz,2,3,A,4.0,5.0,5.0,5.0,7.0,7.0
19/02/2023,Union Berlin,Schalke 04,0,0,D,6.0,4.0,2.0,1.0,4.0,2.0
24/02/2023,Mainz,M'gladbach,4,0,H,3.0,3.0,2.0,3.0,8.0,2.0
25/02/2023,FC Koln,Wolfsburg,0,2,A,10.0,2.0,1.0,2.0,5.0,4.0
25/02/2023,Hertha,Augsburg,2,0,H,1.0,6.0,1.0,3.0,3.0,2.0
25/02/2023,Hoffenheim,Dortmund,0,1,A,12.0,11.0,3.0,1.0,4.0,11.0
25/02/2023,RB Leipzig,Ein Frankfurt,2,1,H,2.0,6.0,2.0,3.0,5.0,4.0
25/02/2023,Schalke 04,Stuttgart,2,1,H,6.0,9.0,2.0,2.0,6.0,5.0
25/02/2023,Werder Bremen,Bochum,3,0,H,2.0,0.0,3.0,2.0,6.0,2.0
26/02/2023,Bayern Munich,Union Berlin,3,0,H,10.0,4.0,1.0,1.0,10.0,1.0
26/02/2023,Freiburg,Leverkusen,1,1,D,1.0,3.0,2.0,1.0,4.0,4.0
03/03/2023,Dortmund,RB Leipzig,2,1,H,4.0,6.0,2.0,5.0,3.0,6.0
04/03/2023,Augsburg,Werder Bremen,2,1,H,3.0,7.0,2.0,2.0,5.0,8.0
04/03/2023,Bochum,Schalke 04,0,2,A,4.0,4.0,2.0,1.0,4.0,5.0
04/03/2023,M'gladbach,Freiburg,0,0,D,6.0,5.0,5.0,2.0,4.0,3.0
04/03/2023,Mainz,Hoffenheim,1,0,H,11.0,3.0,1.0,4.0,6.0,4.0
04/03/2023,Stuttgart,Bayern Munich,1,2,A,3.0,6.0,0.0,0.0,4.0,6.0
04/03/2023,Union Berlin,FC Koln,0,0,D,5.0,4.0,1.0,0.0,2.0,4.0
05/03/2023,Leverkusen,Hertha,4,1,H,9.0,2.0,1.0,2.0,9.0,2.0
05/03/2023,Wolfsburg,Ein Frankfurt,2,2,D,4.0,5.0,3.0,3.0,8.0,2.0
10/03/2023,FC Koln,Bochum,0,2,A,10.0,1.0,2.0,2.0,5.0,3.0
11/03/2023,Bayern Munich,Augsburg,5,3,H,8.0,5.0,2.0,1.0,9.0,6.0
11/03/2023,Ein Frankfurt,Stuttgart,1,1,D,3.0,2.0,4.0,1.0,1.0,5.0
11/03/2023,Hertha,Mainz,1,1,D,7.0,8.0,2.0,1.0,4.0,3.0
11/03/2023,RB Leipzig,M'gladbach,3,0,H,11.0,0.0,1.0,0.0,9.0,3.0
11/03/2023,Schalke 04,Dortmund,2,2,D,3.0,6.0,1.0,1.0,5.0,8.0
12/03/2023,Freiburg,Hoffenheim,2,1,H,2.0,2.0,2.0,5.0,3.0,1.0
12/03/2023,Werder Bremen,Leverkusen,2,3,A,2.0,3.0,2.0,1.0,6.0,5.0
12/03/2023,Wolfsburg,Union Berlin,1,1,D,3.0,5.0,1.0,4.0,6.0,2.0
17/03/2023,M'gladbach,Werder Bremen,2,2,D,6.0,5.0,1.0,1.0,9.0,3.0
18/03/2023,Augsburg,Schalke 04,1,1,D,9.0,6.0,4.0,4.0,3.0,5.0
18/03/2023,Bochum,RB Leipzig,1,0,H,2.0,7.0,2.0,3.0,2.0,8.0
18/03/2023,Dortmund,FC Koln,6,1,H,1.0,6.0,1.0,0.0,8.0,5.0
18/03/2023,Hoffenheim,Hertha,3,1,H,8.0,9.0,0.0,3.0,7.0,5.0
18/03/2023,Stuttgart,Wolfsburg,0,1,A,3.0,8.0,1.0,0.0,2.0,3.0
19/03/2023,Leverkusen,Bayern Munich,2,1,H,5.0,3.0,2.0,3.0,6.0,6.0
19/03/2023,Mainz,Freiburg,1,1,D,3.0,5.0,2.0,3.0,6.0,5.0
19/03/2023,Union Berlin,Ein Frankfurt,2,0,H,3.0,7.0,3.0,2.0,3.0,4.0
31/03/2023,Ein Frankfurt,Bochum,1,1,D,15.0,2.0,3.0,2.0,7.0,2.0
01/04/2023,Bayern Munich,Dortmund,4,2,H,6.0,2.0,1.0,1.0,9.0,4.0
01/04/2023,Freiburg,Hertha,1,1,D,2.0,2.0,1.0,1.0,8.0,3.0
01/04/2023,RB Leipzig,Mainz,0,3,A,3.0,4.0,3.0,3.0,3.0,7.0
01/04/2023,Schalke 04,Leverkusen,0,3,A,7.0,5.0,2.0,1.0,3.0,10.0
01/04/2023,Union Berlin,Stuttgart,3,0,H,3.0,5.0,1.0,1.0,5.0,8.0
01/04/2023,Wolfsburg,Augsburg,2,2,D,4.0,7.0,3.0,2.0,5.0,2.0
02/04/2023,FC Koln,M'gladbach,0,0,D,11.0,1.0,3.0,3.0,5.0,2.0
02/04/2023,Werder Bremen,Hoffenheim,1,2,A,1.0,6.0,3.0,4.0,5.0,2.0
08/04/2023,Augsburg,FC Koln,1,3,A,6.0,1.0,3.0,4.0,1.0,5.0
08/04/2023,Dortmund,Union Berlin,2,1,H,8.0,0.0,5.0,2.0,6.0,2.0
08/04/2023,Freiburg,Bayern Munich,0,1,A,2.0,6.0,2.0,2.0,2.0,8.0
08/04/2023,Hertha,RB Leipzig,0,1,A,4.0,4.0,4.0,3.0,1.0,6.0
08/04/2023,Leverkusen,Ein Frankfurt,3,1,H,2.0,5.0,1.0,5.0,8.0,3.0
08/04/2023,Mainz,Werder Bremen,2,2,D,1.0,2.0,1.0,5.0,10.0,4.0
09/04/2023,Bochum,Stuttgart,2,3,A,7.0,4.0,3.0,3.0,5.0,7.0
09/04/2023,Hoffenheim,Schalke 04,2,0,H,9.0,8.0,3.0,0.0,4.0,3.0
09/04/2023,M'gladbach,Wolfsburg,2,0,H,5.0,8.0,0.0,1.0,6.0,2.0
14/04/2023,Schalke 04,Hertha,5,2,H,7.0,8.0,2.0,3.0,7.0,5.0
15/04/2023,Bayern Munich,Hoffenheim,1,1,D,13.0,4.0,2.0,1.0,7.0,3.0
15/04/2023,Ein Frankfurt,M'gladbach,1,1,D,10.0,2.0,1.0,2.0,5.0,2.0
15/04/2023,FC Koln,Mainz,1,1,D,3.0,3.0,3.0,2.0,4.0,1.0
15/04/2023,RB Leipzig,Augsburg,3,2,H,3.0,5.0,2.0,3.0,6.0,3.0
15/04/2023,Stuttgart,Dortmund,3,3,D,5.0,7.0,5.0,3.0,5.0,6.0
16/04/2023,Union Berlin,Bochum,1,1,D,5.0,7.0,2.0,1.0,2.0,8.0
16/04/2023,Werder Bremen,Freiburg,1,2,A,5.0,2.0,2.0,3.0,5.0,3.0
16/04/2023,Wolfsburg,Leverkusen,0,0,D,2.0,6.0,0.0,5.0,3.0,4.0
21/04/2023,Augsburg,Stuttgart,1,1,D,1.0,3.0,5.0,3.0,1.0,3.0
22/04/2023,Bochum,Wolfsburg,1,5,A,10.0,3.0,3.0,3.0,6.0,7.0
22/04/2023,Dortmund,Ein Frankfurt,4,0,H,5.0,2.0,2.0,3.0,7.0,2.0
22/04/2023,Hertha,Werder Bremen,2,4,A,8.0,4.0,2.0,2.0,5.0,4.0
22/04/2023,Hoffenheim,FC Koln,1,3,A,2.0,5.0,1.0,2.0,4.0,7.0
22/04/2023,Mainz,Bayern Munich,3,1,H,2.0,7.0,2.0,0.0,4.0,2.0
23/04/2023,Freiburg,Schalke 04,4,0,H,6.0,5.0,1.0,2.0,12.0,4.0
23/04/2023,Leverkusen,RB Leipzig,2,0,H,0.0,9.0,3.0,5.0,6.0,8.0
23/04/2023,M'gladbach,Union Berlin,0,1,A,2.0,2.0,3.0,2.0,4.0,4.0
28/04/2023,Bochum,Dortmund,1,1,D,4.0,11.0,1.0,2.0,4.0,6.0
29/04/2023,Ein Frankfurt,Augsburg,1,1,D,5.0,7.0,2.0,2.0,1.0,3.0
29/04/2023,FC Koln,Freiburg,0,1,A,9.0,6.0,1.0,1.0,8.0,6.0
29/04/2023,RB Leipzig,Hoffenheim,1,0,H,7.0,1.0,0.0,2.0,2.0,2.0
29/04/2023,Schalke 04,Werder Bremen,2,1,H,11.0,3.0,4.0,3.0,10.0,1.0
29/04/2023,Stuttgart,M'gladbach,2,1,H,5.0,8.0,2.0,2.0,5.0,4.0
29/04/2023,Union Berlin,Leverkusen,0,0,D,6.0,4.0,1.0,1.0,1.0,2.0
30/04/2023,Bayern Munich,Hertha,2,0,H,18.0,1.0,2.0,0.0,9.0,1.0
30/04/2023,Wolfsburg,Mainz,3,0,H,3.0,5.0,1.0,3.0,4.0,2.0
05/05/2023,Leverkusen,FC Koln,1,2,A,9.0,2.0,1.0,6.0,4.0,5.0
05/05/2023,Mainz,Schalke 04,2,3,A,7.0,6.0,4.0,1.0,4.0,10.0
