Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
18/09/2019,Brugge,Galatasaray,0,0,D
18/09/2019,Paris Saint-Germain,Real Madrid,3,0,H
01/10/2019,Real Madrid,Brugge,2,2,D
01/10/2019,Galatasaray,Paris Saint-Germain,0,1,A
22/10/2019,Brugge,Paris Saint-Germain,0,5,A
22/10/2019,Galatasaray,Real Madrid,0,1,A
06/11/2019,Paris Saint-Germain,Brugge,1,0,H
06/11/2019,Real Madrid,Galatasaray,6,0,H
26/11/2019,Galatasaray,Brugge,1,1,D
26/11/2019,Real Madrid,Paris Saint-Germain,2,2,D
11/12/2019,Paris Saint-Germain,Galatasaray,5,0,H
11/12/2019,Brugge,Real Madrid,1,3,A
18/09/2019,Olympiakos Piraeus,Tottenham Hotspur,2,2,D
18/09/2019,Bayern München,Crvena Zvezda,3,0,H
01/10/2019,Tottenham Hotspur,Bayern München,2,7,A
01/10/2019,Crvena Zvezda,Olympiakos Piraeus,3,1,H
22/10/2019,Tottenham Hotspur,Crvena Zvezda,5,0,H
22/10/2019,Olympiakos Piraeus,Bayern München,2,3,A
06/11/2019,Bayern München,Olympiakos Piraeus,2,0,H
06/11/2019,Crvena Zvezda,Tottenham Hotspur,0,4,A
26/11/2019,Tottenham Hotspur,Olympiakos Piraeus,4,2,H
26/11/2019,Crvena Zvezda,Bayern München,0,6,A
11/12/2019,Bayern München,Tottenham Hotspur,3,1,H
11/12/2019,Olympiakos Piraeus,Crvena Zvezda,1,0,H
18/09/2019,Shakhtar Donetsk,Manchester City,0,3,A
18/09/2019,Dinamo Zagreb,Atalanta,4,0,H
01/10/2019,Atalanta,Shakhtar Donetsk,1,2,A
01/10/2019,Manchester City,Dinamo Zagreb,2,0,H
22/10/2019,Shakhtar Donetsk,Dinamo Zagreb,2,2,D
22/10/2019,Manchester City,Atalanta,5,1,H
06/11/2019,Dinamo Zagreb,Shakhtar Donetsk,3,3,D
06/11/2019,Atalanta,Manchester City,1,1,D
26/11/2019,Manchester City,Shakhtar Donetsk,1,1,D
26/11/2019,Atalanta,Dinamo Zagreb,2,0,H
11/12/2019,Shakhtar Donetsk,Atalanta,0,3,A
11/12/2019,Dinamo Zagreb,Manchester City,1,4,A
18/09/2019,Atlético Madrid,Juventus,2,2,D
18/09/2019,Bayer Leverkusen,Lokomotiv Moskva,1,2,A
01/10/2019,Juventus,Bayer Leverkusen,3,0,H
01/10/2019,Lokomotiv Moskva,Atlético Madrid,0,2,A
22/10/2019,Atlético Madrid,Bayer Leverkusen,1,0,H
22/10/2019,Juventus,Lokomotiv Moskva,2,1,H
06/11/2019,Lokomotiv Moskva,Juventus,1,2,A
06/11/2019,Bayer Leverkusen,Atlético Madrid,2,1,H
26/11/2019,Lokomotiv Moskva,Bayer Leverkusen,0,2,A
26/11/2019,Juventus,Atlético Madrid,1,0,H
11/12/2019,Atlético Madrid,Lokomotiv Moskva,2,0,H
11/12/2019,Bayer Leverkusen,Juventus,0,2,A
17/09/2019,SSC Napoli,Liverpool,2,0,H
17/09/2019,RB Salzburg,KRC Genk,6,2,H
02/10/2019,KRC Genk,SSC Napoli,0,0,D
02/10/2019,Liverpool,RB Salzburg,4,3,H
23/10/2019,RB Salzburg,SSC Napoli,2,3,A
23/10/2019,KRC Genk,Liverpool,1,4,A
05/11/2019,Liverpool,KRC Genk,2,1,H
05/11/2019,SSC Napoli,RB Salzburg,1,1,D
27/11/2019,Liverpool,SSC Napoli,1,1,D
27/11/2019,KRC Genk,RB Salzburg,1,4,A
10/12/2019,SSC Napoli,KRC Genk,4,0,H
10/12/2019,RB Salzburg,Liverpool,0,2,A
17/09/2019,Inter,Slavia Praha,1,1,D
17/09/2019,Borussia Dortmund,Barcelona,0,0,D
02/10/2019,Slavia Praha,Borussia Dortmund,0,2,A
02/10/2019,Barcelona,Inter,2,1,H
23/10/2019,Inter,Borussia Dortmund,2,0,H
23/10/2019,Slavia Praha,Barcelona,1,2,A
05/11/2019,Barcelona,Slavia Praha,0,0,D
05/11/2019,Borussia Dortmund,Inter,3,2,H
27/11/2019,Barcelona,Borussia Dortmund,3,1,H
27/11/2019,Slavia Praha,Inter,1,3,A
10/12/2019,Borussia Dortmund,Slavia Praha,2,1,H
10/12/2019,Inter,Barcelona,1,2,A
17/09/2019,Olympique Lyonnais,Zenit St. Petersburg,1,1,D
17/09/2019,SL Benfica,RB Leipzig,1,2,A
02/10/2019,Zenit St. Petersburg,SL Benfica,3,1,H
02/10/2019,RB Leipzig,Olympique Lyonnais,0,2,A
23/10/2019,RB Leipzig,Zenit St. Petersburg,2,1,H
23/10/2019,SL Benfica,Olympique Lyonnais,2,1,H
05/11/2019,Zenit St. Petersburg,RB Leipzig,0,2,A
05/11/2019,Olympique Lyonnais,SL Benfica,3,1,H
27/11/2019,Zenit St. Petersburg,Olympique Lyonnais,2,0,H
27/11/2019,RB Leipzig,SL Benfica,2,2,D
10/12/2019,SL Benfica,Zenit St. Petersburg,3,0,H
10/12/2019,Olympique Lyonnais,RB Leipzig,2,2,D
17/09/2019,Chelsea,Valencia,0,1,A
17/09/2019,AFC Ajax,Lille OSC,3,0,H
02/10/2019,Valencia,AFC Ajax,0,3,A
02/10/2019,Lille OSC,Chelsea,1,2,A
23/10/2019,AFC Ajax,Chelsea,0,1,A
23/10/2019,Lille OSC,Valencia,1,1,D
05/11/2019,Chelsea,AFC Ajax,4,4,D
05/11/2019,Valencia,Lille OSC,4,1,H
27/11/2019,Valencia,Chelsea,2,2,D
27/11/2019,Lille OSC,AFC Ajax,0,2,A
10/12/2019,Chelsea,Lille OSC,2,1,H
10/12/2019,AFC Ajax,Valencia,0,1,A
18/02/2020,Borussia Dortmund,Paris Saint-Germain,2,1,H
18/02/2020,Atlético Madrid,Liverpool,1,0,H
19/02/2020,Atalanta,Valencia,4,1,H
19/02/2020,Tottenham Hotspur,RB Leipzig,0,1,A
25/02/2020,Chelsea,Bayern München,0,3,A
25/02/2020,SSC Napoli,Barcelona,1,1,D
26/02/2020,Real Madrid,Manchester City,1,2,A
26/02/2020,Olympique Lyonnais,Juventus,1,0,H
10/03/2020,Valencia,Atalanta,3,4,A
10/03/2020,RB Leipzig,Tottenham Hotspur,3,0,H
11/03/2020,Paris Saint-Germain,Borussia Dortmund,2,0,H
11/03/2020,Liverpool,Atlético Madrid,2,3,A
07/08/2020,Manchester City,Real Madrid,2,1,H
07/08/2020,Juventus,Olympique Lyonnais,2,1,H
08/08/2020,Bayern München,Chelsea,4,1,H
08/08/2020,Barcelona,SSC Napoli,3,1,H
12/08/2020,Atalanta,Paris Saint-Germain,1,2,A
13/08/2020,RB Leipzig,Atlético Madrid,2,1,H
14/08/2020,Barcelona,Bayern München,2,8,A
15/08/2020,Manchester City,Olympique Lyonnais,1,3,A
18/08/2020,RB Leipzig,Paris Saint-Germain,0,3,A
19/08/2020,Olympique Lyonnais,Bayern München,0,3,A
23/08/2020,Paris Saint-Germain,Bayern München,0,1,A
21/10/2020,RB Salzburg,Lokomotiv Moskva,2,2,D
21/10/2020,Bayern München,Atlético Madrid,4,0,H
27/10/2020,Lokomotiv Moskva,Bayern München,1,2,A
27/10/2020,Atlético Madrid,RB Salzburg,3,2,H
03/11/2020,Lokomotiv Moskva,Atlético Madrid,1,1,D
03/11/2020,RB Salzburg,Bayern München,2,6,A
25/11/2020,Atlético Madrid,Lokomotiv Moskva,0,0,D
25/11/2020,Bayern München,RB Salzburg,3,1,H
01/12/2020,Lokomotiv Moskva,RB Salzburg,1,3,A
01/12/2020,Atlético Madrid,Bayern München,1,1,D
09/12/2020,Bayern München,Lokomotiv Moskva,2,0,H
09/12/2020,RB Salzburg,Atlético Madrid,0,2,A
21/10/2020,Real Madrid,Shakhtar Donetsk,2,3,A
21/10/2020,Inter,Bor. Mönchengladbach,2,2,D
27/10/2020,Shakhtar Donetsk,Inter,0,0,D
27/10/2020,Bor. Mönchengladbach,Real Madrid,2,2,D
03/11/2020,Shakhtar Donetsk,Bor. Mönchengladbach,0,6,A
03/11/2020,Real Madrid,Inter,3,2,H
25/11/2020,Bor. Mönchengladbach,Shakhtar Donetsk,4,0,H
25/11/2020,Inter,Real Madrid,0,2,A
01/12/2020,Shakhtar Donetsk,Real Madrid,2,0,H
01/12/2020,Bor. Mönchengladbach,Inter,2,3,A
09/12/2020,Inter,Shakhtar Donetsk,0,0,D
09/12/2020,Real Madrid,Bor. Mönchengladbach,2,0,H
21/10/2020,Manchester City,Porto,3,1,H
21/10/2020,Olympiakos Piraeus,Olympique Marseille,1,0,H
27/10/2020,Porto,Olympiakos Piraeus,2,0,H
27/10/2020,Olympique Marseille,Manchester City,0,3,A
03/11/2020,Porto,Olympique Marseille,3,0,H
03/11/2020,Manchester City,Olympiakos Piraeus,3,0,H
25/11/2020,Olympiakos Piraeus,Manchester City,0,1,A
25/11/2020,Olympique Marseille,Porto,0,2,A
01/12/2020,Porto,Manchester City,0,0,D
01/12/2020,Olympique Marseille,Olympiakos Piraeus,2,1,H
09/12/2020,Manchester City,Olympique Marseille,3,0,H
09/12/2020,Olympiakos Piraeus,Porto,0,2,A
21/10/2020,AFC Ajax,Liverpool,0,1,A
21/10/2020,Midtjylland,Atalanta,0,4,A
27/10/2020,Atalanta,AFC Ajax,2,2,D
27/10/2020,Liverpool,Midtjylland,2,0,H
03/11/2020,Atalanta,Liverpool,0,5,A
03/11/2020,Midtjylland,AFC Ajax,1,2,A
25/11/2020,AFC Ajax,Midtjylland,3,1,H
25/11/2020,Liverpool,Atalanta,0,2,A
01/12/2020,Atalanta,Midtjylland,1,1,D
01/12/2020,Liverpool,AFC Ajax,1,0,H
09/12/2020,AFC Ajax,Atalanta,0,1,A
09/12/2020,Midtjylland,Liverpool,1,1,D
20/10/2020,Chelsea,Sevilla,0,0,D
20/10/2020,Stade Rennais,FK Krasnodar,1,1,D
28/10/2020,FK Krasnodar,Chelsea,0,4,A
28/10/2020,Sevilla,Stade Rennais,1,0,H
04/11/2020,Chelsea,Stade Rennais,3,0,H
04/11/2020,Sevilla,FK Krasnodar,3,2,H
24/11/2020,Stade Rennais,Chelsea,1,2,A
24/11/2020,FK Krasnodar,Sevilla,1,2,A
02/12/2020,FK Krasnodar,Stade Rennais,1,0,H
02/12/2020,Sevilla,Chelsea,0,4,A
08/12/2020,Chelsea,FK Krasnodar,1,1,D
08/12/2020,Stade Rennais,Sevilla,1,3,A
20/10/2020,Zenit St. Petersburg,Brugge,1,2,A
20/10/2020,Lazio Roma,Borussia Dortmund,3,1,H
28/10/2020,Borussia Dortmund,Zenit St. Petersburg,2,0,H
28/10/2020,Brugge,Lazio Roma,1,1,D
04/11/2020,Zenit St. Petersburg,Lazio Roma,1,1,D
04/11/2020,Brugge,Borussia Dortmund,0,3,A
24/11/2020,Borussia Dortmund,Brugge,3,0,H
24/11/2020,Lazio Roma,Zenit St. Petersburg,3,1,H
02/12/2020,Borussia Dortmund,Lazio Roma,1,1,D
02/12/2020,Brugge,Zenit St. Petersburg,3,0,H
08/12/2020,Zenit St. Petersburg,Borussia Dortmund,1,2,A
08/12/2020,Lazio Roma,Brugge,2,2,D
20/10/2020,Dinamo Kiev,Juventus,0,2,A
20/10/2020,Barcelona,Ferencvárosi TC,5,1,H
28/10/2020,Ferencvárosi TC,Dinamo Kiev,2,2,D
28/10/2020,Juventus,Barcelona,0,2,A
04/11/2020,Barcelona,Dinamo Kiev,2,1,H
04/11/2020,Ferencvárosi TC,Juventus,1,4,A
24/11/2020,Dinamo Kiev,Barcelona,0,4,A
24/11/2020,Juventus,Ferencvárosi TC,2,1,H
02/12/2020,Juventus,Dinamo Kiev,3,0,H
02/12/2020,Ferencvárosi TC,Barcelona,0,3,A
08/12/2020,Dinamo Kiev,Ferencvárosi TC,1,0,H
08/12/2020,Barcelona,Juventus,0,3,A
20/10/2020,RB Leipzig,İstanbul Başakşehir,2,0,H
20/10/2020,Paris Saint-Germain,Manchester United,1,2,A
28/10/2020,İstanbul Başakşehir,Paris Saint-Germain,0,2,A
28/10/2020,Manchester United,RB Leipzig,5,0,H
04/11/2020,İstanbul Başakşehir,Manchester United,2,1,H
04/11/2020,RB Leipzig,Paris Saint-Germain,2,1,H
24/11/2020,Manchester United,İstanbul Başakşehir,4,1,H
24/11/2020,Paris Saint-Germain,RB Leipzig,1,0,H
02/12/2020,İstanbul Başakşehir,RB Leipzig,3,4,A
02/12/2020,Manchester United,Paris Saint-Germain,1,3,A
08/12/2020,RB Leipzig,Manchester United,3,2,H
09/12/2020,Paris Saint-Germain,İstanbul Başakşehir,5,1,H
16/02/2021,RB Leipzig,Liverpool,0,2,A
16/02/2021,Barcelona,Paris Saint-Germain,1,4,A
17/02/2021,Porto,Juventus,2,1,H
17/02/2021,Sevilla,Borussia Dortmund,2,3,A
23/02/2021,Lazio Roma,Bayern München,1,4,A
23/02/2021,Atlético Madrid,Chelsea,0,1,A
24/02/2021,Bor. Mönchengladbach,Manchester City,0,2,A
24/02/2021,Atalanta,Real Madrid,0,1,A
09/03/2021,Juventus,Porto,3,2,H
09/03/2021,Borussia Dortmund,Sevilla,2,2,D
10/03/2021,Liverpool,RB Leipzig,2,0,H
10/03/2021,Paris Saint-Germain,Barcelona,1,1,D
16/03/2021,Manchester City,Bor. Mönchengladbach,2,0,H
16/03/2021,Real Madrid,Atalanta,3,1,H
17/03/2021,Bayern München,Lazio Roma,2,1,H
17/03/2021,Chelsea,Atlético Madrid,2,0,H
06/04/2021,Manchester City,Borussia Dortmund,2,1,H
06/04/2021,Real Madrid,Liverpool,3,1,H
07/04/2021,Porto,Chelsea,0,2,A
07/04/2021,Bayern München,Paris Saint-Germain,2,3,A
13/04/2021,Chelsea,Porto,0,1,A
13/04/2021,Paris Saint-Germain,Bayern München,0,1,A
14/04/2021,Borussia Dortmund,Manchester City,1,2,A
14/04/2021,Liverpool,Real Madrid,0,0,D
27/04/2021,Real Madrid,Chelsea,1,1,D
28/04/2021,Paris Saint-Germain,Manchester City,1,2,A
04/05/2021,Manchester City,Paris Saint-Germain,2,0,H
05/05/2021,Chelsea,Real Madrid,2,0,H
29/05/2021,Manchester City,Chelsea,0,1,A
15/09/2021,Manchester City,RB Leipzig,6,3,H
15/09/2021,Brugge,Paris Saint-Germain,1,1,D
28/09/2021,Paris Saint-Germain,Manchester City,2,0,H
28/09/2021,RB Leipzig,Brugge,1,2,A
19/10/2021,Brugge,Manchester City,1,5,A
19/10/2021,Paris Saint-Germain,RB Leipzig,3,2,H
03/11/2021,RB Leipzig,Paris Saint-Germain,2,2,D
03/11/2021,Manchester City,Brugge,4,1,H
24/11/2021,Manchester City,Paris Saint-Germain,2,1,H
24/11/2021,Brugge,RB Leipzig,0,5,A
07/12/2021,RB Leipzig,Manchester City,2,1,H
07/12/2021,Paris Saint-Germain,Brugge,4,1,H
15/09/2021,Atlético Madrid,Porto,0,0,D
15/09/2021,Liverpool,Milan,3,2,H
28/09/2021,Porto,Liverpool,1,5,A
28/09/2021,Milan,Atlético Madrid,1,2,A
19/10/2021,Atlético Madrid,Liverpool,2,3,A
19/10/2021,Porto,Milan,1,0,H
03/11/2021,Milan,Porto,1,1,D
03/11/2021,Liverpool,Atlético Madrid,2,0,H
24/11/2021,Liverpool,Porto,2,0,H
24/11/2021,Atlético Madrid,Milan,0,1,A
07/12/2021,Porto,Atlético Madrid,1,3,A
07/12/2021,Milan,Liverpool,1,2,A
15/09/2021,Beşiktaş,Borussia Dortmund,1,2,A
15/09/2021,Sporting CP,AFC Ajax,1,5,A
28/09/2021,AFC Ajax,Beşiktaş,2,0,H
28/09/2021,Borussia Dortmund,Sporting CP,1,0,H
19/10/2021,Beşiktaş,Sporting CP,1,4,A
19/10/2021,AFC Ajax,Borussia Dortmund,4,0,H
03/11/2021,Borussia Dortmund,AFC Ajax,1,3,A
03/11/2021,Sporting CP,Beşiktaş,4,0,H
24/11/2021,Beşiktaş,AFC Ajax,1,2,A
24/11/2021,Sporting CP,Borussia Dortmund,3,1,H
07/12/2021,AFC Ajax,Sporting CP,4,2,H
07/12/2021,Borussia Dortmund,Beşiktaş,5,0,H
15/09/2021,Sheriff,Shakhtar Donetsk,2,0,H
15/09/2021,Inter,Real Madrid,0,1,A
28/09/2021,Shakhtar Donetsk,Inter,0,0,D
28/09/2021,Real Madrid,Sheriff,1,2,A
19/10/2021,Shakhtar Donetsk,Real Madrid,0,5,A
19/10/2021,Inter,Sheriff,3,1,H
03/11/2021,Real Madrid,Shakhtar Donetsk,2,1,H
03/11/2021,Sheriff,Inter,1,3,A
24/11/2021,Inter,Shakhtar Donetsk,2,0,H
24/11/2021,Sheriff,Real Madrid,0,3,A
07/12/2021,Real Madrid,Inter,2,0,H
07/12/2021,Shakhtar Donetsk,Sheriff,1,1,D
14/09/2021,Barcelona,Bayern München,0,3,A
14/09/2021,Dinamo Kiev,SL Benfica,0,0,D
29/09/2021,SL Benfica,Barcelona,3,0,H
29/09/2021,Bayern München,Dinamo Kiev,5,0,H
20/10/2021,Barcelona,Dinamo Kiev,1,0,H
20/10/2021,SL Benfica,Bayern München,0,4,A
02/11/2021,Bayern München,SL Benfica,5,2,H
02/11/2021,Dinamo Kiev,Barcelona,0,1,A
23/11/2021,Dinamo Kiev,Bayern München,1,2,A
23/11/2021,Barcelona,SL Benfica,0,0,D
08/12/2021,Bayern München,Barcelona,3,0,H
08/12/2021,SL Benfica,Dinamo Kiev,2,0,H
14/09/2021,BSC Young Boys,Manchester United,2,1,H
14/09/2021,Villarreal,Atalanta,2,2,D
29/09/2021,Atalanta,BSC Young Boys,1,0,H
29/09/2021,Manchester United,Villarreal,2,1,H
20/10/2021,Manchester United,Atalanta,3,2,H
20/10/2021,BSC Young Boys,Villarreal,1,4,A
02/11/2021,Atalanta,Manchester United,2,2,D
02/11/2021,Villarreal,BSC Young Boys,2,0,H
23/11/2021,Villarreal,Manchester United,0,2,A
23/11/2021,BSC Young Boys,Atalanta,3,3,D
08/12/2021,Manchester United,BSC Young Boys,1,1,D
09/12/2021,Atalanta,Villarreal,2,3,A
14/09/2021,Sevilla,RB Salzburg,1,1,D
14/09/2021,Lille OSC,VfL Wolfsburg,0,0,D
29/09/2021,RB Salzburg,Lille OSC,2,1,H
29/09/2021,VfL Wolfsburg,Sevilla,1,1,D
20/10/2021,RB Salzburg,VfL Wolfsburg,3,1,H
20/10/2021,Lille OSC,Sevilla,0,0,D
02/11/2021,VfL Wolfsburg,RB Salzburg,2,1,H
02/11/2021,Sevilla,Lille OSC,1,2,A
23/11/2021,Lille OSC,RB Salzburg,1,0,H
23/11/2021,Sevilla,VfL Wolfsburg,2,0,H
08/12/2021,RB Salzburg,Sevilla,1,0,H
08/12/2021,VfL Wolfsburg,Lille OSC,1,3,A
14/09/2021,Chelsea,Zenit St. Petersburg,1,0,H
14/09/2021,Malmö FF,Juventus,0,3,A
29/09/2021,Zenit St. Petersburg,Malmö FF,4,0,H
29/09/2021,Juventus,Chelsea,1,0,H
20/10/2021,Zenit St. Petersburg,Juventus,0,1,A
20/10/2021,Chelsea,Malmö FF,4,0,H
02/11/2021,Malmö FF,Chelsea,0,1,A
02/11/2021,Juventus,Zenit St. Petersburg,4,2,H
23/11/2021,Chelsea,Juventus,4,0,H
23/11/2021,Malmö FF,Zenit St. Petersburg,1,1,D
08/12/2021,Zenit St. Petersburg,Chelsea,3,3,D
08/12/2021,Juventus,Malmö FF,1,0,H
15/02/2022,Sporting CP,Manchester City,0,5,A
15/02/2022,Paris Saint-Germain,Real Madrid,1,0,H
16/02/2022,RB Salzburg,Bayern München,1,1,D
16/02/2022,Inter,Liverpool,0,2,A
22/02/2022,Chelsea,Lille OSC,2,0,H
22/02/2022,Villarreal,Juventus,1,1,D
23/02/2022,SL Benfica,AFC Ajax,2,2,D
23/02/2022,Atlético Madrid,Manchester United,1,1,D
08/03/2022,Bayern München,RB Salzburg,7,1,H
08/03/2022,Liverpool,Inter,0,1,A
09/03/2022,Manchester City,Sporting CP,0,0,D
